Titre;Description Longue;Commune;code_postal;INSEE;Dispotifs Covid;Statut;Labels;Catégorie;geopoint;adresse
DOMAINE LES QUATRE AMOURS;"Les quatre amours s’appellent Paul, Olga, Louis et Rose.
Ils ont inspiré le nom du domaine qui a vu naître quatre générations de vignerons.

Même si aujourd’hui certains des quatre amours volent de leurs propres ailes, ils demeurent les ambassadeurs du domaine et participent aux salons des Vins en France et à l’étranger. Ils connaissent le métier de la Terre, le respect de la nature et les soins nécessaires pour obtenir de belles grappes. Ils savent aussi parler de la dure réalité que les vignerons ne maîtrisent pas toujours comme la grêle, le gel, la canicule…
En 2012, 5 ans après le lancement de l’aventure,  France et Michel ont construit une nouvelle cave en pierres de Provence et un caveau de dégustation et de vente.

Le Domaine des quatre amours est un domaine familial de 20 hectares, en  Agriculture Biologique. 
France et Michel vous accueilleront au caveau pour déguster leur gamme des vins.

Le Domaine les 4 Amours prolonge ainsi l’aventure humaine et familiale où chacun, quel que soit son âge participe à la création d’un vin de conviction.";BELARGA;34230;34029;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.5530724, 3.4912556;10 route Croix de Saint Antoine
TOURS & TERROIRS CAVEAU DE GIGNAC;"Issus d'une tradition viticole depuis toujours, les Vignerons de Tours & Terroirs d'Aniane se sont regroupés et ont mis en commun un savoir-faire, un terroir mondialement reconnu, une dynamique et des moyens viticoles qui donnent aujourd'hui des produits de qualité.
Nous sommes aujourd’hui 250 à nous appliquer à extraire le meilleur de nos quelques 700Ha.
A la cave, une équipe jeune et dynamique travaille à l’élaboration de nos cuvées.
Les vins proposés sont à base de Syrah, Grenache, Merlot, Cabernet, Carignan, Cinsault, Sauvignon blanc, Grenache blanc et Chardonnay, sélectionnés directement sur les parcelles.
AOP Languedoc, Terrasses du Larzac, IGP St Guilhem le Désert, Vin de France
De nos vins de cépage à ceux élevés en fût de chêne, en passant par certains plus atypiques, vous trouverez nécessairement celui qui ravit vos papilles.
Venez nous rendre visite !

ATELIERS VINS ET CHOCOLATS

Tous les jours, Tours & Terroirs propose des ateliers vins et chocolats sur réservation.
25 € pour 1h pour une expérience gourmande conviviale et ludique.";GIGNAC;34150;34114;gel à disposition, 2 personnes  dans la boutique;Coopérative;Oenorando®;Vente de vins au caveau;43.6547706, 3.5514832;10 avenue Marcelin Albert
MAS CAL DEMOURA;"Symbole du magnétisme d'un grand terroir
Fondé au début des années 90, le Mas Cal Demoura fait partie des domaines précurseurs ayant contribué à la révolution qualitative des vins du Languedoc. Isabelle & Vincent Goumard concentrent leur énergie depuis 2004 à interpréter les grands terroirs autour de Jonquières au cœur des Terrasses du Larzac et à faire découvrir au monde du vin ces magnifiques terroirs.";JONQUIERES;34725;34122;Merci de nous prévenir préalablement à votre visite. Réception sur rdv du lundi au samedi de 10h à 12h et de 14h à 17h. Pas de dégustation, mais vente de vin. Possibilité de nous communiquer votre commande par mail ou téléphone et de régler sur place en CB lors du retrait au domaine.;Cave particulière;Biodyvin;Vente de vins au caveau;43.672749, 3.4819989;125 Route de Saint André
DOMAINE DES GRECAUX;"Le domaine des Grécaux a présenté son premier millésime en 1999. Vinifiant dans une cave au coeur du village de Saint Jean-de-Fos, le domaine, au cœur des appellations Languedoc A.O.P ""terrasses du Larzac"" et ""Montpeyroux"", présente des vins de garde, tout en finesse. 
Petit domaine de 6 ha, les parcelles sont nichées sur une palette unique de terroirs depuis le Causse minéral de Montpeyroux jusqu'aux anciennes terrasses surplombant Aniane.
Le vignoble de Montpeyroux bénéficie de la fraicheur nocturne apportée par les vents en provenance du Larzac, tout proche à 700m d'altitude.
Toutes les parcelles de domaine sont cultivées le plus naturellement possible, sans herbicides ni fongicides de synthèse. L'accent est porté sur le respect de environnement et le travail du sol.";SAINT-JEAN-DE-FOS;34150;34267;;Cave particulière;Ecocert;Vente de vins au caveau;43.7018051, 3.5510064;4 avenue du Monument
DOMAINE DES AIRES;"Le Muscat de Lunel est un vin doux naturel, produit exclusivement avec des raisins muscat à petits grains, cultivés sur des coteaux caillouteux.

Par ailleurs, nous produisons du vin rouge et rosé issus de plusieurs cépages (Grenache, Syrah, Cinsault et Merlot).
Venez découvrir notre caveau !";LUNEL;34400;34145;"Mesure de distanciation physique avec mise en place d'un plexiglas.
Présence de gel hydroalcoolique sur une barrique devant le comptoir.";Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.6745532, 4.13925468;67 rue des Aires
DOMAINE LE CLOS DE BELLEVUE;"Situé à Lunel, le domaine produit plusieurs grands vins du Languedoc et depuis plus de 20 ans, des AOP Muscat de lunel, sur un terroir exceptionnel, le plus haut de l'appellation.
Une récolte manuelle et un soin particulier à la vinification procurent à ses cuvées une finesse incomparable et un bouquet remarquable.
S'y ajoutent épisodiquement une cuvée passerillée, vin liquoreux de haute tenue, servie à la table du Président de la République et maintenant un nouveau vin de raisins surmûris.
Depuis 2004, une nouvelle production confidentielle de grands vins du Languedoc sur les terroirs de Saint-Christol et de Saint-Sériès, apporte une autre renommée au domaine (distinguée par la Revue des Vins de France, le Guide Hachette des Vins...).";LUNEL;34400;34145;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.6990674, 4.11948411;Mas de Bellevue
DOMAINES PAUL MAS;"Les vins des Domaines Paul Mas sont le résultat d'une symbiose harmonieuse entre une région extraordinaire pour produire des raisins, une passion pour la vigne et le respect du raisin lors de la vinification et le talent de l'assemblage et de l'élevage : c'est le style Jean-Claude Mas.

Aujourd'hui 15 châteaux composent les Domaines Paul Mas et expriment tous les merveilleux terroirs de la région Occitanie à travers les plus belles appellations et crus.

Engagés dans l'élimination de tous les produits chimiques et dans une volonté de travail de la vigne en harmonie avec la nature, 40 % du vignoble des domaines est en agriculture biologique certifiée, 100% est certifié en HVE3 avec des principes de culture biodynamique.

#sejourœno";MONTAGNAC;34530;34162;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.488782, 3.51839303;Route de Villeveyrac
CAVE DE SAINT CHINIAN;"A Saint-Chinian, la cave de Saint-Chinian est sans conteste l'une des plus belles cave du Sud de la France. Vous pourrez y rencontrer ses vignerons chaleureux qui unissent leur savoir-faire et produisent des vins reconnus dans le monde entier. Une étape incontournable pour le plaisir des sens.
Venez découvrir également l'Art en Cave, un concept unique qui associe l'oeuvre d'un artiste contemporain et une cuvée d'exception. Lors de cet événement, une fresque est réalisée sur l'une des cuves de la cave et sera reproduite sur l'étiquette d'une bouteille de vin. Depuis 2013, des artistes renommés comme Miss.Tic, Laura Chaplin, Michel Granger et bien d'autres ont peint les cuves et transformé ce lieu en une galerie d'art unique en son genre.
L'inauguration des nouvelles fresques se déroule lors des journées portes ouvertes. 

Visite libre de l'Art en Cave® toute l'année - Visite guidée en juillet et août à 17h, 17h30 et 18h";SAINT-CHINIAN;34360;34245;;Coopérative;Vignobles et Découvertes;Vente de vins au caveau;43.4255355, 2.94599289;Chemin de Sorteilho
CHÂTEAU DE STONY;"Château de Stony – L’élégance d’un domaine viticole familial depuis 1860 

Au bout d’une allée bordée de pins, niché au cœur des vignes, le Château de Stony vous ouvre ses portes pour une expérience unique. Ce domaine familial de 14 hectares, cultivé en agriculture biologique, produit des vins d’exception reflétant toute l’authenticité du terroir de Frontignan. 

Découvrez notre gamme de Muscat de Frontignan AOP, nos vins blancs secs, rosés et rouges, issus d’un savoir-faire transmis depuis des générations. Guidés par une approche respectueuse de la nature, nous avons fait le choix de bannir les produits chimiques et de synthèse pour préserver la richesse du sol vivant et sublimer l’expression de la vigne. 
- Dégustations & ventes directement au caveau, au cœur du domaine. 
- Visites de groupes sur réservation. 
- Ouvert toute l’année. Pour une immersion totale, prolongez l’expérience en séjournant dans nos gîtes au milieu des vignes. En famille, entre amis ou en groupe, profitez d’un cadre exceptionnel pour un séjour authentique et ressourçant. 

Château de Stony – Une invitation à découvrir l’âme des vins de Frontignan.";FRONTIGNAN;34110;34108;;Cave particulière;Agriculture Biologique;Vente de vins au caveau;43.4362024, 3.72226238;Route de Balaruc
DOMAINE MOULIN DE LENE;"Le Moulin de Lène est un domaine viticole de 65 hectares de vignes, implanté au cœur du département de l’Hérault, entre la mer Méditerranée et les contreforts des Cévennes, dans le vallon de la Lène, au nord de Béziers.

Conduit en agriculture raisonnée Terra Vitis® depuis 1998, le Moulin de Lène est aujourd’hui en conversion Bio de manière intégrale.

Le domaine est constitué de 8 terroirs sur lesquels 19 cépages sont cultivés, ce qui amène l’équipe à imaginer et à essayer de nouveaux itinéraires techniques avec pour objectif le bien-être du végétal, du sol, de l’homme et enfin de la qualité du fruit. Nous produisons principalement des vins d'assemblages, originaux.

Au milieu de notre large gamme de blancs, orange, rouges et rosés, il y a forcément le vin que vous recherchez pour accompagner un plat et vos moments de convivialités.

Une dégustation des vins du Domaine est proposée aux visiteurs. Pour les groupes,  une formule visite et dégustation sur rendez-vous est possible.";MAGALAS;34480;34147;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.4854095, 3.24917043;Route de Fouzilhon
DOMAINE SAINT-ANDRE;"Au cœur du Languedoc, face à la ville de Sète et au Mont Saint Clair, bercé par la Lagune de Thau, le Domaine Saint-André, fort d’une superficie de 30 hectares, réunit à lui seul l’ensemble des cépages traditionnels du Languedoc (Cinsault, Carignan, Chardonnay, Muscat, Roussanne, Vermentino et Viognier), auxquels s’ajoutent certains cépages Bordelais (Merlot et Cabernet Franc). Son vignoble bénéficie d’un climat méditerranéen tempéré par les influences maritimes. Son sol, à dominante argilo-calcaire est quant à lui propice à la production de vins d’excellente qualité.

Depuis Mars 2020, la société LGI Wines, exportatrice reconnue de Vins du Languedoc depuis plus de 20 ans, a racheté le Domaine Saint-André. LGI Wines est représentée par Xavier Roger et Cedric Duquenoy.

Ils vont apporter au Domaine de Saint-André leur savoir-faire technique et commercial, afin de faire rayonner les vins du domaine dans le monde entier et ainsi perpétuer le travail initié par Inès et Thierry.";MEZE;34140;34157;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.4331704, 3.56886697;Route de Marseillan
FERME DES GARRIGUES;Sur les hauteurs du hameau les 230 chèvres alpines de Norbert se nourrissent de la garrigue environnante, ce qui affine les saveurs de son Pélardon d'exception.;NOTRE-DAME-DE-LONDRES;34380;34185;;Producteur;;Vente des produits de l’exploitation;43.8100778, 3.7402393;Hameau de Lagarde
ABBAYE SYLVA PLANA;L'Abbaye Sylva Plana vous propose : -  Son caveau de vente, vin issu de l'agriculture biologique, ou vous trouverez de la Côte de Thongue et du Faugères, ainsi que son terroir. Vente de charcuterie, fois gras, spiritueux, bières. Son bar à vin. sa table vigneronne, dans un cadre chaleureux alliant la pierre au contemporain, pour découvrir une restauration élaborée par son chef à travers différentes formules le midi et un carte le soir. - Ses chambres et suites à louer de mai à octobre avec possibilité de petit déjeuner. - Sa salle de séminaire avec une location à la journée ou demi journée.;LAURENS;34480;34130;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.5248424, 3.18811612;13 ancienne Route Nationale
DOMAINE DE LA PÉRRIÈRE;"Notre famille qui produit le vin sur le domaine de la Perrière, est l'une des plus vieilles familles. Déjà présente sur les terres du Prieuré à la fin du XIVe siècle, elle s'installe à Saint Vincent au XIVe puis également à Assas au XVIIe siècle.
La vigne y est cultivée depuis toujours, comme en témoignent les compoix : de la Val de Montferrand (1520) de St Vincent de Barbeyrargues (1662). La connaissance multiséculaire de cette terre alliée à une adaptation des cépages et une vinification soignée sont ainsi à l'origine d'un produit de qualité et assure panache et longévité à nos généreux Coteaux du Languedoc.
Nos efforts constants permettent la meilleure utilisation des incomparables dons naturels du cru et la pérennité de sa qualité.";ASSAS;34820;34014;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.7000681, 3.8890328;975 Route de Saint Vincent de Barbeyrargues
DOMAINE PRES LASSES;Les vins des Prés Lasses, fruits de la vigne et du travail des hommes, explorent avec élégance, la minéralité du terroir de Faugères. Respectueux de l'environnement, le domaine est en culture biologique. Boris FEIGEL élabore les différentes cuvées avec beaucoup de passion et le plus naturellement possible : vendanges manuelles, levures indigènes, cuvaisons longues...;AUTIGNAC;34480;34018;Le personnel a été formé au bonnes pratiques d'hygiène spécial Covid.;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.4993344, 3.1703564;26 avenue de la Liberté
DOMAINE DU METEORE;"Il y a 10 000 ans, une météorite s’est écrasée sur le flanc d’une colline dans le sud de la France. Aujourd’hui, les vignes du Domaine du Météore poussent à l’intérieur et autour de son cratère. 
Situé dans les Hauts Cantons du Languedoc, le domaine s’étend sur les sols schisteux de Faugères et de Saint-Chinian. Entouré de garrigue au parfum de thym sauvage, de menthe et de cistes, le Domaine du Météore produit des vins bio inspirés de son terroir et de son histoire, avec un soupçon d’influence cosmique. 
Créé il y a plus de 30 ans, le domaine du Météore a été acquis en 2018 par deux médecins londoniens : Paul Jenkins (endocrinologue) et Paul Jarman (neurologue). Notre directeur Simon Frech possède une expérience internationale considérable après avoir travaillé dans des vignobles prestigieux en Nouvelle-Zélande et en Argentine, Il travaille en France depuis 15 ans. Passionné par le potentiel de notre terroir, il partage notre point de vue sur sa capacité à produire de grands vins.";CABREROLLES;34480;34044;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.54266, 3.12508;9 Route d'Aigues-Vives
MAISON LE BRETON - DOMAINE DE LA JASSE;"Le bon, le bien et le beau en bouteille, c'est la mission que s'est donnée la Maison Le Breton au travers de ses vins de la Jasse ! 
Leur volonté est de contribuer à un monde meilleur pour les générations futures, grâce à la production d'un vin responsable. 
Le saviez-vous : Oui, l'arbre de la Jasse existe vraiment. Il fait référence au beau platane situé au siège de Maison Le Breton : le Domaine de la Jasse. On estime qu'il a plus de 100 ans. Sa présence sur chacune des bouteilles de la Jasse a permis à nos vins d'être appelés « le vin avec l'arbre ». Le domaine se caractérise par son engagement en agroécologie en faveur d’une économie plus inclusive, plus équitable et plus régénératrice";COMBAILLAUX;34980;34082;"Le caveau est ouvert en retrait drive, commande sur place possible mais commande en ligne privilégiée : http://boutiquedelajasse-montlobre.com.
Livraison possible dans tout le département et le reste de la France.
Caveau ouvert du lundi au jeudi de 8h à 12h et 13h à 17h, jusqu'à 16h le vendredi.";Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.6633259, 3.766979;Route de Murles
DOMAINE DE CAUSSE;"« Situé à Lattes aux portes de Montpellier, le Domaine de Causse, qui a vu le jour au XVI ème siècle, s’étend  sur 80 hectares dont 55 hectares de vignes. 
Il borde la zone Natura 200 de l'Etang du Méjean et l'exploitation est certifiée Haute Valeur Environnementale (HVE 3).

Le Domaine produit des vins de Pays d’Oc blancs, rosés et rouges, issus de 12 cépages différents, élaborés sur un merveilleux terroir de galets roulés et d’argiles rouges. Ce sont des sols profonds, qui permettent un enracinement profond de la vigne. Ces galets extrêmement durs emmagasinent la chaleur tout au long de la journée et la restituent à la vigne durant la nuit. Le climat sec et les entrées maritimes en été favorisent une maturité précoce et un bel équilibre des vins. Les blancs, rosés, et rouges du Domaine de Causse riment avec rondeur, élégance, puissance, fraîcheur et qualité... »";LATTES;34970;34129;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.57315, 3.92276;Domaine de Causse
DOMAINE DE PIERRE BELLE;C'est au Nord de Béziers que s'étend le vignoble de Pierre Belle : 60 hectares de coteaux argilo-calcaire baignés par le soleil méditerranéen. Les vins sont le fruit d'une culture rigoureuse, de la passion et de l'exigence d'une famille de vignerons qui s'emploie à tirer le meilleur des cépages tel que: Merlot, Syrah, Cabernet-Sauvignon, Grenache, Carignan, Marselan, Chardonnay, Viognier, Sauvignon et Muscat. La culture raisonnée qui tend à protéger l'environnement et la qualité de la production est pratiquée sur l'ensemble du vignoble. Le caveau se situe au milieu d'une vigne de Syrah, facile d'accès (tout près de la D909). Vous serez guidés dans la dégustation de toutes ces belles cuvées et conseillés sur les accords mets/vins les plus appréciés.;LIEURAN-LES-BEZIERS;34290;34139;"Etablissement ouvert aux horaires habituels

- Distanciation
- Mise à disposition de gel hydroalcoolique
- Désinfection systématique";Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.4175822, 3.228964;8 rue des Oliviers
DOMAINE DE LA CONSEILLERE;"Situé dans la vallée de l’Hérault, au bord du fleuve, l'histoire du domaine de la Conseillère remonte au XVIe. s. où il était alors rattaché au château de Lavagnac. 
La famille de Virieu l’exploite depuis cinq générations et produit des vins fins et raffinés.

Le domaine comporte aujourd'hui 20 hectares de vigne, propose diverses activités dédiées à l'oenotourisme et réalise des animations sur mesure. 

#sejourœno
#œnoloisirs";MONTAGNAC;34530;34162;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.4984867, 3.47203102;Route de Gignac
DOMAINE ST GEORGES LES CARDINELLES;Le Domaine Saint Georges, issu du travail de vignerons de Nissan depuis le 16ème siècle, est situé dans les collines entre Aude et Orb, au cœur du village. Il propose une gamme de vins du soleil, chaleureux et variés, allant des plus simples aux plus sélectionnés. L'alliance entre tradition et modernité se reflète dans la culture soignée de cépages de qualité et une vinification moderne, produisant des vins généreux, subtils et fins. Chaque cuvée est un hommage à l'héritage vigneron du domaine.;NISSAN-LEZ-ENSERUNE;34440;34183;"1)Vous pouvez nous rendre visite au Caveau
- sans rendez-vous les jeudis de 10h à 12h et les samedis de 10h à 12h
- sur rendez-vous sur contact@cardinelles.com ou en laissant un message avec votre nom et vos coordonnées sur le 04 67 39 45 04

2) Nous proposons également la livraison gratuite :
- sur Nissan à partir de 20€ de commande
- villages aux alentours et Béziers à partir de 30€ de commande

3) Commandes par mail :
vous pouvez demander nos tarifs et passer vos commandes sur contact@cardinelles.com puis les récupérer au Caveau pendant les heures d'ouverture ou sur rendez-vous

4) Commandes en ligne :
    Click et Livraison: Croutons
    Expédition par la Plateforme des Vignerons Independants Plugwine
    Click et Collect: Locavor
    Expédition: Ici Présent (à venir)
    Expédition: Les Grappes (à venir)";Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.2915455, 3.12827603;7 rue du Square
MAS DES CHIMERES;Installé en cave particulière depuis 1993, le domaine se situe sur la commune d’Octon dans la vallée du Salagou. La recherche permanente de l’expression du terroir nous a amené à abandonner rapidement tous les produits chimiques nuisibles à la vie de la terre et des plantes.;OCTON;34800;34186;;Cave particulière;Ecocert;Vente de vins au caveau;43.6517382, 3.3028181;26, rue de la Vialle
DOMAINE DE MAIRAN;"Idéalement situé à 4.5 km du Canal du Midi et 20 km de Béziers et des plages de la Méditerranée, le domaine de Mairan s'étend sur des terres argilo-calcaire de Puisserguier. Ce terroir donne aux vins une grande finesse et beaucoup d’arômes. Jean Baptiste Peitavy, vous invite à déguster ses vins de Pays d'Oc directement au caveau. Des visites du domaine sont également proposées sur rendez-vous.
Domaine d’une vingtaine d’hectares situé entre mer et montagne, c’est ici que naquit Monsieur Mairan, célèbre physicien du XVIIe siècle, anobli par Louis XIV.
Les terres argilo-calcaire de la propriété donnent à nos vins une grande finesse et beaucoup d’arômes. Leur qualité est garantie par la charte du vigneron indépendant récoltant en cave particulière et leur certification indication Géographique Protégée Pays d’Oc.
Les vins du domaine de Mairan figurent sur le guide Hachette des Vins de France. Ils sont également présents sur bon nombre de cartes des restaurants prestigieux de notre pays.";PUISSERGUIER;34620;34225;;Cave particulière;Haute Valeur Environnementale;Vente de vins au caveau;43.3613829, 3.079269;Domaine de Mairan
